ruyue ma,Ruyue Ma,Baidu
ryan rawson,Ryan Rawson,DrawnToScale
sam pullara,Sam Pullara,Yahoo!
sam rash,sam rash,Facebook
sameer paranjpye,Sameer Paranjpye,Yahoo!
sandy ryza,Sandy Ryza,Cloudera
sanjay,Sanjay Radia,Hortonworks
sanjay radia,Sanjay Radia,Hortonworks
scott carey,Scott Carey,Richrelevance
scott chen,Chun-Yang Chen,Facebook
sean busbey,Sean Busbey,Cloudera
sean mackrory,Sean Mackrory,Cloudera
senthil subramanian,Senthil Subramanian,Yahoo!
sergey,Sergey Shelukhin,Hortonworks
sergey shelukhin,Sergey Shelukhin,Hortonworks
shaneal manek,Shaneal Manek,Cloudera
sharad agarwal,Sharad Agarwal,Inmobi
shevek,Shevek,Karmasphere
sho shimauchi,Sho Shimauchi,Cloudera
shreepadma venugopalan,Shreepadma Venugopalan,Cloudera
siddarth seth,Siddharth Seth,Hortonworks
siddharth seth,Siddharth Seth,Hortonworks
siddharth wagle,Siddharth Wagle,Hortonworks
skye wanderman-milne,Skye Wanderman-Milne,Cloudera
sms,Santhosh Srinivasan,Yahoo!
sreekanth ramakrishnan,Sreekanth Ramakrishnan,Yahoo!
srikanth sundarrajan,Srikanth Sundarrajan,Yahoo!
srimanth gunturi,Srimanth Gunturi,Hortonworks
sriram rao,Sriram Rao,Yahoo!
stack,stack,Stumbleupon
stefan groschupf,Stefan Groschupf,Datameer
stephen chu,Stephen Chu,Cloudera
stephen fritz,Stephen Fritz,Cloudera
steve loughran,Steve Loughran,Hortonworks
stevel,Steve Loughran,Hortonworks
subramaniam krishnan,Subramaniam Krishnan,Yahoo!
suhas,Suhas Gogate,Hortonworks
suhas gogate,Suhas Gogate,Hortonworks
suresh,Suresh Srinivas,Hortonworks
suresh srinivas,Suresh Srinivas,Hortonworks
sushanth sowmyan,Sushanth Sowmyan,Hortonworks
swee lim,Swee Lim,LinkedIn
szetszwo,Tsz-wo Sze,Hortonworks
tanping wang,Tanping Wang,Yahoo!
tdunning,Ted Dunning,MapR
ted dunning,Ted Dunning,MapR
ted yu,Ted Yu,Hortonworks
tedyu,Ted Yu,Hortonworks
tejas,Thejas Madhavan Nair,Hortonworks
tgraves,Thomas Graves,Yahoo!
thejas,Thejas Madhavan Nair,Hortonworks
thejas m nair,Thejas Madhavan Nair,Hortonworks
thejas madhavan nair,Thejas Madhavan Nair,Hortonworks
thejas nair,Thejas Nair,Hortonworks
thomas beerbower,Thomas Beerbower,Hortonworks
thomas graves,Thomas Graves,Yahoo!
thomas white,Tom White,Cloudera
tim sell,Tim Sell,Songkick
todd,Todd Lipcon,Cloudera
todd lipcon,Todd Lipcon,Cloudera
toffer,Francis Christopher Liu,Yahoo!
tom beerbower,Thomas Beerbower,Hortonworks
tom white,Tom White,Cloudera
tomwhite,Tom White,Cloudera
traviscrawford,Travis Crawford,Twitter
"tsz wo (nicholas), sze",Tsz-wo Sze,Hortonworks
tsz-wo sze,Tsz-wo Sze,Hortonworks
tucu,Alejandro Abdelnur,Cloudera
uma maheswara rao g,Uma Maheswara Rao G,Huawei
utkarsh,Utkarsh Srivastava,Twitter
vandana ayyalasomayajula,Vandana Ayyalasomayajula,Yahoo!
varun,Varun Kapoor,Hortonworks
varun kapoor,Varun Kapoor,Hortonworks
vgogate,Suhas Gogate,Hortonworks
vikram,Vikram Dixit K,Hortonworks
vikram dixit,Vikram Dixit K,Hortonworks
vikram dixit k,Vikram Dixit K,Hortonworks
vinod,Vinod Kumar Vavilapalli,Hortonworks
vinod k v,Vinod Kumar Vavilapalli,Hortonworks
vinod kumar vavilapalli,Vinod Kumar Vavilapalli,Hortonworks
"vinod kumar vavilapalli,rahul kumar singh",Vinod Kumar Vavilapalli,Hortonworks
vinodkv,Vinod Kumar Vavilapalli,Hortonworks
vitthal (suhas) gogate,Suhas Gogate,Hortonworks
vitthal gogate,Suhas Gogate,Hortonworks
vzaliva,Vadim Zaliva,Tristero Consulting
will,Will McQueen,Cloudera
will mcqueen,Will McQueen,Cloudera
xuefu zhang,Xuefu Zhang,Inadco
xuefuz,Xuefu Zhang,Inadco
yongqiang he,Yongqiang He,Facebook
yusaku,Yusaku Sako,Hortonworks
yusaku sako,Yusaku Sako,Hortonworks
zheng shao,Zheng Shao,Facebook
zhihong yu,Ted Yu,Hortonworks
zshao,Zheng Shao,Facebook
ahmed m aly,,
daijy,,
yanz,,
rding,,
Andrew Kornev,,
paul yang,,
rahul kumar singh,,
eli,,
shv,,
cdouglas,Doug Cutting,Cloudera
dvryaboy,,
jonathan gray,Jonathan Gray,Continuuity
gang tim liu,,
Santhosh Srinivasan,,
ben,,
nicolas spiegelberg,,
liyin tang,,
boryas,,
sohan jain,,
robert evans,,
jgray,Jonathan Gray,Continuuity
jon gray,Jonathan Gray,Continuuity
ivan,,
pradeepkth,,
Vinay Kumar Thota,,
Thomas Weise,,
zjshen,,
nkeywal,,
cos,,
krishna kumar,,
sharad,,
Matt Corgan,,
(blank),,
matteo bertozzi,,
mingjie lai,,
robert joseph evans,,
Subbu M Iyer,,
eugene koontz,,
siying dong,,
Bruce Mitchener,,
llu,,
ashutoshc,,
weiyan wang,,
virag,,
daijyc,,
brian beggs working of initial michael gottesman work,,
yinghe,,
navis,,
mona,,
Zhenxiao Luo,,
xuefu,,
colin goodheart smithe,,
Dani Abel Rayan,,
tanping,,
Alex Baranau,,
gerritjvv,,
julien,,
nitay joffe,,
andrei savu,,
pwendell,,
aniket486,,
marquis wang,,
Martin Blom,,
jean xu,,
pat,,
prakash khemani,,
michi mutsuzaki,,
sriranjan,,
xalan,,
rahul singh,,
steven cheng,,
li pi,,
v v chaitanya krishna,,
gaurav jain,,
at all,,
emil ibrishimov,,
Aniket Mokashi,,
ccccabe,,
jean daniel cryans,Jean-Daniel Cryans,Cloudera
fix whitespace diffs in hregionserver,,
jacek,,
virag kothari,,
juhani connolly,,
azaroth,,
thomas koch,,
ctdean,,
yuntao jia,,
rachel gollub,,
jnp,,
travis crawford,,
umbrella,,
yan zhou,,
n keywal,,
guolin2001,,
billgraham,,
zjffdu,,
junping du,,
marshall mcmullen,,
alexey kovyrin,,
tamas sarlos,,
alex newman,,
cameron gandevia,,
ming ma,,
patrick wendell,,
adam worthington,,
robbie,,
tomasz nykiel,,
Chris Trezzo,,
mayank lahiri,,
pranav,,
anoop,,
basab maulik,,
franklin hu,,
yuanjun li,,
jay shrauner,,
riley patterson,,
ram,,
alex shraer,,
prasanth j,,
prajakta kalmegh,,
dheeraj agrawal,,
jing1234,,
anirban roy,,
ramkrishna s vasudevan,,
Angelo K. Huang,,
marc limotte,,
michajlo matijkiw,,
Jonathan Leavitt,,
binglin chang,,
bart,,
himanshu vashishtha,,
doÃ„Å¸acan g Â¼ney,,
herberts,,
extend interfaces for collecting other types of statistics,,
gerritjw,,
jonathan chang,,
bennie schut,,
pradeep kamath,,
guanying wang,,
dave thompson,,
vinay thota,,
peter newcomb,,
hartmut lang,,
Madhuwanti Vaidya,,
zhiyong zhang,,
prkommireddi,,
thw,,
fpj,,
Chris Dean,,
rangadi,,
hugo trippaers,,
cosmin lehene,,
danny ye,,
aklish,,
Laxman,,
min zhou,,
madhukara phatak,,
ankit modi,,
Marek Sapota,,
mohammad,,
kannan muthukkaruppan,,
bill graham,,
port hbase 483 to trunk,,
ankur,,
bobby,,
hluu,,
karthick sankarachary,,
masatake iwasaki,,
elliot clark,,
sishen freecity,,
chunhui shen,,
sergey doroshenko,,
jake farrell,,
Leonid Furman,,
sze,,
kiran nagasubramanian,,
ramkrishna.s.vasudevan,,
rvs,,
rahul k singh,,
shubhamc,,
syed albiz,,
romainr,,
ivan gorbachev,,
suresh anthony,,
hiram chirino,,
nrai,,
sseth,,
britt,,
kanna karanam,,
only python went in,,
paepcke,,
plamen jeliazkov,,
